Date,Min Wage,CPI
May-77,1820,103
Jun-77,1820,104.04
Jul-77,1820,107.77
Aug-77,1820,110.51
Sep-77,1820,112.03
Oct-77,1820,119.3
Nov-77,1820,120.54
Dec-77,1820,120.22
Jan-78,1820,122.41
Feb-78,1820,124.58
Mar-78,1820,124.89
Apr-78,1820,127.26
May-78,1820,136.11
Jun-78,1820,136.54
Jul-78,1820,137.79
Aug-78,1863.64,138.21
Sep-78,2780,145.49
Oct-78,2780,156.7
Nov-78,2780,158.25
Dec-78,2780,159.18
Jan-79,2780,171.47
Feb-79,2780,175.2
Mar-79,2780,180.18
Apr-79,2780,189.27
May-79,2780,191.6
Jun-79,2780,215.78
Jul-79,3485.91,224.9
Aug-79,4333,236.01
Sep-79,4333,251.9
Oct-79,4333,263.52
Nov-79,4333,275.37
Dec-79,4333,282.8
Jan-80,4333,328.11
Feb-80,4333,362.72
Mar-80,4333,366.12
Apr-80,8041.86,367.06
May-80,8660,379.3
Jun-80,8660,433.64
Jul-80,8660,434.98
Aug-80,8660,449.1
Sep-80,8660,474.29
Oct-80,8660,499.01
Nov-80,8660,531.93
Dec-80,8660,545.73
Jan-81,8660,570.71
Feb-81,8660,592.96
Mar-81,8660,604.2
Apr-81,8660,577.23
May-81,8660,594.48
Jun-81,10238.18,619.12
Jul-81,13000,614.28
Aug-81,13000,665.36
Sep-81,13000,691.77
Oct-81,13000,739.99
Nov-81,13000,806.89
Dec-81,13000,779.55
Jan-82,13000,793.52
Feb-82,13000,827.56
Mar-82,13000,787.65
Apr-82,13000,790.34
May-82,13000,834.98
Jun-82,19136.36,861.35
Jul-82,22000,862.25
Aug-82,22000,915.19
Sep-82,22000,944.82
Oct-82,22000,996.11
Nov-82,22000,1012.21
Dec-82,22000,1038.32
Jan-83,22000,1089.3
Feb-83,22000,1104.8
Mar-83,22000,1129.03
Apr-83,22000,1131.96
May-83,22000,1146.63
Jun-83,22000,1171.47
Jul-83,23639.44,1180.59
Aug-83,24270,1207.44
Sep-83,24270,1228.2
Oct-83,24270,1284.21
Nov-83,24270,1337.32
Dec-83,24270,1389.56
Jan-84,24270,1520.53
Feb-84,26280,1545.24
Mar-84,30300,1572.36
Apr-84,30300,1621.65
May-84,30300,1705.66
Jun-84,30300,1784.3
Jul-84,30300,1816.59
Aug-84,30300,1864.07
Sep-84,30300,1926.95
Oct-84,30300,2047.55
Nov-84,30300,2201.96
Dec-84,30300,2372.29
Jan-85,46000,2375.26
Feb-85,46000,2432.14
Mar-85,46000,2512.42
Apr-85,46000,2583.12
May-85,46000,2662.89
Jun-85,46000,2694.01
Jul-85,46000,2757.85
Aug-85,46000,3369.4
Sep-85,46000,3504.47
Oct-85,46000,3610.83
Nov-85,46000,3505.57
Dec-85,46000,3393.22
Jan-86,75000,3633.98
Feb-86,75000,3784.71
Mar-86,75000,4038.3
Apr-86,75000,4042.96
May-86,75000,4095.18
Jun-86,75000,4108.11
Jul-86,75000,4470.73
Aug-86,75000,4630.85
Sep-86,75000,4637.71
Oct-86,75000,4710.14
Nov-86,75000,4800.7
Dec-86,75000,5024.91
Jan-87,90000,5184.71
Feb-87,90000,5247.74
Mar-87,90000,5479.47
Apr-87,90000,5527.37
May-87,90000,5595.38
Jun-87,90000,5885.01
Jul-87,90000,5996.22
Aug-87,90000,6018.46
Sep-87,90000,6252.57
Oct-87,90000,6760.73
Nov-87,90000,6954.49
Dec-87,90000,7185.97
Jan-88,121000,7766.59
Feb-88,121000,8413.66
Mar-88,121000,8918.5
Apr-88,121000,9096
May-88,121000,9236.12
Jun-88,121000,9445.95
Jul-88,121000,9804.53
Aug-88,121000,10400.25
Sep-88,121000,10643.13
Oct-88,121000,11033.33
Nov-88,121000,11343.77
Dec-88,121000,11682.23
Jan-89,205001,12349.08
Feb-89,205001,13326.37
Mar-89,205001,13605.9
Apr-89,205001,14110.36
May-89,205001,14496.96
Jun-89,205001,14622.72
Jul-89,205001,15515.93
Aug-89,205001,16405.56
Sep-89,205001,16557.19
Oct-89,205001,16818.75
Nov-89,205001,17284.52
Dec-89,205001,17734.96
Jan-90,340500,18876.82
Feb-90,340500,20730.08
Mar-90,340500,21427.83
Apr-90,340500,22172.3
May-90,340500,22754.36
Jun-90,340500,23449.24
Jul-90,340500,24019.81
Aug-90,340500,26778.51
Sep-90,340500,28054.73
Oct-90,340500,28726.62
Nov-90,340500,29374.07
Dec-90,340500,30045.24
Jan-91,520000,31045.53
Feb-91,520000,31976.11
Mar-91,520000,33253.77
Apr-91,520000,34614.8
May-91,520000,35448.36
Jun-91,520000,37201.74
Jul-91,520000,38092.08
Aug-91,520000,38809.96
Sep-91,520000,40518.06
Oct-91,520000,41782.07
Nov-91,520000,42818.3
Dec-91,520000,43965.89
Jan-92,806000,47227.6
Feb-92,806000,52002.68
Mar-92,806000,53765.4
Apr-92,806000,55197.55
May-92,806000,56330.78
Jun-92,806000,57373.47
Jul-92,806000,59186.48
Aug-92,806000,61136.75
Sep-92,806000,63400.34
Oct-92,806000,66012.44
Nov-92,806000,68550.52
Dec-92,806000,71827.32
Jan-93,1373000,75368.56
Feb-93,1373000,80533.11
Mar-93,1373000,84656.42
Apr-93,1373000,86552.8
May-93,1373000,87877.17
Jun-93,1373000,90030.81
Jul-93,1373000,94471.01
Aug-93,1373000,98978.76
Sep-93,1373000,100890.96
Oct-93,1373000,103441.97
Nov-93,1373000,108365.78
Dec-93,1373000,115756.55
Jan-94,3000000,121335.73
Feb-94,3000000,132390.63
Mar-94,3000000,161586.49
Apr-94,3000000,193119.22
May-94,3000000,242373.25
Jun-94,3000000,250536.52
Jul-94,3000000,262350.26
Aug-94,5000000,288565.36
Sep-94,5000000,308050.82
Oct-94,5000000,323109.01
Nov-94,5000000,339038.88
Dec-94,5000000,364639.6
Jan-95,9420000,399411.77
Feb-95,9420000,426709.81
Mar-95,9420000,459197.56
Apr-95,9420000,464405.23
May-95,9420000,472700.71
Jun-95,9420000,479903.93
Jul-95,9420000,513000.32
Aug-95,9420000,548981.17
Sep-95,11590000,583841.72
Oct-95,11590000,597380.09
Nov-95,11590000,609667.37
Dec-95,11590000,627724.98
Jan-96,14800000,670062.53
Feb-96,14800000,713973.09
Mar-96,14800000,744161.33
Apr-96,14800000,771731.73
May-96,14800000,819783.56
Jun-96,14800000,857175.73
Jul-96,14800000,929625.35
Aug-96,14800000,1009465.74
Sep-96,14800000,1048283.61
Oct-96,14800000,1088935.33
Nov-96,14800000,1129336.99
Dec-96,14800000,1177255.16
Jan-97,23000000,1238357.42
Feb-97,23000000,1342478.47
Mar-97,23000000,1462548.77
Apr-97,23000000,1519522.69
May-97,23000000,1563454.09
Jun-97,23000000,1580555.26
Jul-97,23000000,1644428.43
Aug-97,23000000,1775843.93
Sep-97,33800000,1843810.94
Oct-97,33800000,1936300.07
Nov-97,33800000,2044192.31
Dec-97,33800000,2138773.27
Jan-98,50250000,2238086.18
Feb-98,50250000,2419211.32
Mar-98,50250000,2544132.86
Apr-98,50250000,2660776.17
May-98,50250000,2764034.18
Jun-98,50250000,2840303.86
Jul-98,50250000,2924099.4
Aug-98,50250000,3076696.26
Sep-98,67000000,3272986.65
Oct-98,67000000,3338049.1
Nov-98,67000000,3445106.33
Dec-98,67000000,3560918.94
Jan-99,85000000,3733658.06
Feb-99,85000000,3900787.08
Mar-99,85000000,4113752.51
Apr-99,85000000,4232569.58
May-99,85000000,4308956.39
Jun-99,103000000,4409315.58
Jul-99,103000000,4495810.89
Aug-99,103000000,4774027.04
Sep-99,103000000,5089043.24
